Nombre|Provincia|Partido|FechaInicio|FechaFin
Paúl Carrasco|Azuay|MNJP|2005|2019
Vinicio Coloma|Bolívar|SUMA|2014|2019
Rommel Correa|Cañar|PAIS|2009|2019
Guillermo Herrera|Carchi|IDC|2014|2019
Mariano Curicama|Chimborazo|PAIS|2005|2019
Jorge Guamán|Cotopaxi|MUPP|2014|2019
Esteban Quirola|El Oro|PSC|2014|2019
Lucía Sosa|Esmeraldas|MUP|2014|2019
Jimmy Jairala|Guayas|CDN|2009|2019
Pablo Jurado|Imbabura|Avanza|2014|2019
Rafael Dávila|Loja|CREO|2014|2019
Marco Troya|Los Ríos|PAIS|2009|2019
Mariano Zambrano|Manabí|PAIS|2005|2019
Marcelino Chumpi|Morona Santiago|MUPP|2009|2019
Sergio Chacón|Napo|PAIS|2009|2019
Guadalupe Llori|Orellana|MUPP|2009|2019
Antonio Kubes|Pastaza|SUMA|2014|2019
Gustavo Baroja|Pichincha|PAIS|2006|2019
Patricio Cisneros|Santa Elena|MPCG|2009|2019
Geovanny Benítez|Santo Domingo de los Tsáchilas|PAIS|2008|2019
Guido Vargas|Sucumbíos|PSP|2014|2019
Fernando Naranjo|Tungurahua|PAIS|2000|2019
Salvador Quishpe|Zamora Chinchipe|MUPP|2009|2019
Xavier Muñoz|Azuay|No contiene|1978|1983
Nicanor Merchán Luco|Azuay|No contiene|1983|1984
Leonardo Alvarado|Azuay|No contiene|1984|1987
Franklin Durán|Azuay|No contiene|1987|1988
Ítalo Ordóñez|Azuay|No contiene|1988|1991
Mario Molina|Azuay|No contiene|1991|1992
Alejandro Corral|Azuay|No contiene|1992|1996
Marcelo Cabrera|Azuay|No contiene|1996|2004
Oswaldo Flores|Azuay|No contiene|2004|2005
Paúl Carrasco|Azuay|No contiene|2005|En el cargo.
Daniel Lozada Cortez|Orellana|No contiene|1999|2000
Colón Caicedo|Orellana|No contiene|2004|2005
Guadalupe Llori|Orellana|No contiene|2005|2008
Alberto Zambrano|Orellana|No contiene|2008|2009
Guadalupe Llori|Orellana|No contiene|2009|Actualidad
Ana Triviño|Santa Elena|Alianza PAIS|2008|2009
Patricio Cisneros|Santa Elena|Alianza PAIS|2009|2014
Alberto Andrade Fajardo|Los Ríos|Concentración de Fuerzas Populares|1978|1984
Antonio Sotomayor|Los Ríos|Frente Radical Alfarista|1984|1988
Jorge Yánez|Los Ríos|Partido Roldosista Ecuatoriano|1988|1992
Oscar Llerena|Los Ríos|Partido Roldosista Ecuatoriano|1992|1996
7 prefectos de transición|Los Ríos|Partido Social Cristiano|1997|2000
Jorge Marún|Los Ríos|Partido Roldosista Ecuatoriano|2000|2005
Bonifacio Morán|Los Ríos|Partido Roldosista Ecuatoriano|2007|2009
Marco Troya|Los Ríos|Alianza País|2009|2014
Ernesto Olmedo Lara|Morona Santiago|No contiene|1967|1970
Luis Zúñiga T.|Morona Santiago|No contiene|1970|1972
Avelino Jaramillo|Morona Santiago|No contiene|1972|1976
Luis A. Rivadeneira|Morona Santiago|No contiene|1976|1977
Washington Ricaurte|Morona Santiago|No contiene|1977|1978
Ernesto Olmedo Lara|Morona Santiago|No contiene|1978|1984
Carlos Medina|Morona Santiago|No contiene|1984|1987
Oscar Pozo|Morona Santiago|No contiene|1987|1988
Enrique Meza Arcos|Morona Santiago|No contiene|1988|1992
Joaquín Estrella|Morona Santiago|No contiene|1992|1996
Fausto Suárez|Morona Santiago|No contiene|1998|2000
Jaime Mejía|Morona Santiago|No contiene|2000|2005
Marcelino Chumpí|Morona Santiago|No contiene|2009|Actualidad
Jorge Añazco|Sucumbíos|No contiene|1989|1992
Eliseo Azuero|Sucumbíos|No contiene|1992|1996
Oswaldo Villota|Sucumbíos|No contiene|1998|2000
Luis Bermeo|Sucumbíos|No contiene|2000|2005
Guillermo Muñoz Tamayo|Sucumbíos|No contiene|2005|2006
Darwin Lozada|Sucumbíos|No contiene|2006|2009
Orlando Grefa|Sucumbíos|No contiene|2009|2014
Guido Vargas|Sucumbíos|No contiene|2014|Actualidad
Misael Espín Morán|Napo|No contiene|1967|1968
Enrique Espinosa de los Monteros|Napo|No contiene|1968|1970
Ney Estupiñán Recalde|Napo|No contiene|1970|1976
Danilo Jurado Yépez|Napo|No contiene|1976|1978
Edgar Santillán|Napo|No contiene|1978|1983
Gustavo Ruíz Terán|Napo|No contiene|1983|1984
Jorge González Granda|Napo|No contiene|1984|1987
César Andy Tapuy|Napo|No contiene|1987|1988
Wilson Barrionuevo Sánchez|Napo|No contiene|1988|1992
Eduardo Vayas|Napo|No contiene|1992|1996
Edison Chávez|Napo|No contiene|1996|2000
Gina Sanmiguel|Napo|No contiene|2005|2009
Sergio Chacón|Napo|No contiene|2009|Actualidad
Geovanny Benítez|Santo Domingo de los Tsáchilas|No contiene|2008|2009
Eduardo Garzón Fonseca|Imbabura|No contiene|1967|1970
Abdón Montalvo Rhea|Imbabura|No contiene|1971|1973
Víctor Alejandro Jaramillo|Imbabura|No contiene|1978|1983
Segundo Obando|Imbabura|No contiene|1983|1984
Luis Mejía Montesdeoca|Imbabura|No contiene|1984|1988
Luis Muñoz Herrería|Imbabura|No contiene|1988|1992
Luis Mejía Montesdeoca|Imbabura|No contiene|1992|1996
Gustavo Pareja|Imbabura|No contiene|1997|2000
Washington Barreno|Imbabura|No contiene|2009|2009
Diego García Pozo|Imbabura|No contiene|2009|2014
Pablo Jurado|Imbabura|No contiene|2014|Actualidad
Julio César Estupiñán|Esmeraldas|No contiene|1930|1932
Ricardo Plaza|Esmeraldas|No contiene|1932|1933
José María Taborda|Esmeraldas|No contiene|1934|1935
César Concha|Esmeraldas|No contiene|1954|1956
Telémaco Cortés|Esmeraldas|No contiene|1956|1958
Luis Alberto Díaz|Esmeraldas|No contiene|1958|1959
Segundo Salas|Esmeraldas|No contiene|1959|1960
Roberto Luis Cervantes|Esmeraldas|No contiene|1960|1960
Daniel Álvarez Tenorio|Esmeraldas|No contiene|1960|1962
Pedro Vicente Maldonado López|Esmeraldas|No contiene|1962|1963
Rafael Aspiazu|Esmeraldas|No contiene|1963|1963
René Rodríguez|Esmeraldas|No contiene|1963|1964
Gregorio Camacho|Esmeraldas|No contiene|1964|1964
Gonzalo Gutiérrez|Esmeraldas|No contiene|1964|1965
Bolívar Drouet|Esmeraldas|No contiene|1965|1967
Jorge Jalil|Esmeraldas|No contiene|1967|1970
Tiberio Patiño|Esmeraldas|No contiene|1970|1974
Maximiliano Haas|Esmeraldas|No contiene|1970 |Actualidad
Luis Alberto Raad|Esmeraldas|No contiene|1970|Actualidad
Luis Zatizabal|Esmeraldas|No contiene|1997|Actualidad
Ricardo Estupiñán|Esmeraldas|No contiene|1977|1978
Francisco Mejía Villa|Esmeraldas|No contiene|1978|1983
Jorge Campaín|Esmeraldas|No contiene|1970|Actualidad
Jorge Chiriboga|Esmeraldas|No contiene|1983|1988
Francisco Mejía Villa|Esmeraldas|No contiene|1988|1991
David Medina Rojas|Esmeraldas|No contiene|1991|1992
Carlos Saúd|Esmeraldas|No contiene|1992|1996
René Rhor|Esmeraldas|No contiene|1996|2000
Homero López|Esmeraldas|No contiene|2000|2005
Lucía Sosa|Esmeraldas|No contiene|2005|2013
Rafael Erazo|Esmeraldas|No contiene|2013|2014
Lucía Sosa|Esmeraldas|No contiene|2014|Actualidad
Alberto Rodríguez|Tungurahua|No contiene|1946|1947
Alberto Salgado|Tungurahua|No contiene|1947|1948
Luis Vásconez|Tungurahua|No contiene|1948|1948
Sixto Naranjo Galán|Tungurahua|No contiene|1948|1949
Temístocles Sevilla|Tungurahua|No contiene|1949|1952
Alberto Rodríguez|Tungurahua|No contiene|1952|1953
Rodrigo Pachano Lalama|Tungurahua|No contiene|1953|1955
José Arcadio Carrasco Mino|Tungurahua|No contiene|1955|1958
Alfredo Altamirano|Tungurahua|No contiene|1958|1959
José Arcadio Carrasco Mino|Tungurahua|No contiene|1959|1960
Ernesto Bucheli|Tungurahua|No contiene|1960|1964
Oswaldo Barrera|Tungurahua|No contiene|1964|1966
Alberto Salgado|Tungurahua|No contiene|1966|1966
Ernesto Bucheli|Tungurahua|No contiene|1966|1972
German Chacón|Tungurahua|No contiene|1972|1975
José Cabrera|Tungurahua|No contiene|1975|1977
Gonzalo Callejas|Tungurahua|No contiene|1977|1978
Milton Salgado|Tungurahua|No contiene|1978|1983
Rodrigo Sevilla Cobo|Tungurahua|No contiene|1983|1984
Guido Palacios|Tungurahua|No contiene|1984|1987
Gabriel Ruiz Albán|Tungurahua|No contiene|1987|1988
Carlos Larrea Albán|Tungurahua|No contiene|1988|1992
María Hortensia Albán|Tungurahua|No contiene|1992|2000
Fernando Naranjo|Tungurahua|No contiene|2000|Actualidad
Ernesto Jouvín|Guayas|No contiene|1947|1947
Antonio Moya|Guayas|No contiene|1947|1949
Alejandro Teodoro Ponce Luque|Guayas|No contiene|1949|1953
Ricardo Tola Carbo|Guayas|No contiene|1953|1954
Guillermo Gallardo Cordova|Guayas|No contiene|1954|1956
Augusto Alvarado Olea|Guayas|No contiene|1956|1957
César Amador Baquerizo|Guayas|No contiene|1957|1958
Amalio Puga Pastor|Guayas|No contiene|1958|1959
Bolívar San Lucas Zavala|Guayas|No contiene|1959|1960
Alejandro Aguilar Ruilova|Guayas|No contiene|1960|1961
Galo A. Garay Vargas|Guayas|No contiene|1961|1961
Assad Bucaram Elmhalin|Guayas|No contiene|1961|1962
Jorge Yunes Huésped|Guayas|No contiene|1962|1964
Rafael Dillon Valdez|Guayas|No contiene|1964|1966
Augusto Barreiro Solórzano|Guayas|No contiene|1967|1967
Bolívar San Lucas Zavala|Guayas|No contiene|1967|1970
Julio Vinueza Moscoso|Guayas|No contiene|1970|1971
Walter Franco Egüez|Guayas|No contiene|1971|1972
Roberto Béjar Suéscum|Guayas|No contiene|1972|1975
Raúl Baca Carbo|Guayas|No contiene|1975|1977
Fernando Abad Montero|Guayas|No contiene|1977|1978
Guido Chiriboga Parra|Guayas|No contiene|1978|1984
Alfredo Adum Ziade|Guayas|No contiene|1984|1986
Carlos Hidalgo Villacis|Guayas|No contiene|1986|1992
Nicolás Lapentti Carrión|Guayas|No contiene|1992|2009
Jaime Nogales Torres|Guayas|No contiene|2009|2009
Jimmy Jairala|Guayas|No contiene|2009|Actualidad
Mariano Suárez Veintimilla|Pichincha|No contiene|1946|1947
Manuel Freire|Pichincha|No contiene|1947|1947
Luis Bossano|Pichincha|No contiene|1947|1949
José Moreno|Pichincha|No contiene|1949|1950
Benjamín Terán Varea|Pichincha|No contiene|1950|1953
Eduardo Nájera Espinosa|Pichincha|No contiene|1953|1953
Manuel Navarro|Pichincha|No contiene|1953|1954
Manuel Jijón Caamaño|Pichincha|No contiene|1954|1955
Guillermo Cabrera|Pichincha|No contiene|1955|1956
Luis Merlo|Pichincha|No contiene|1956|1957
Manuel Tobar|Pichincha|No contiene|1957|1958
Carlos Guerrero|Pichincha|No contiene|1958|1959
Jorge Geotschel|Pichincha|No contiene|1959|1962
Francisco Salazar|Pichincha|No contiene|1962|1964
Hernán Escudero|Pichincha|No contiene|1964|1964
Alfredo Reyes|Pichincha|No contiene|1964|1967
Manuel Córdova Galarza|Pichincha|No contiene|1967|1970
Álvaro Pérez Intriago|Pichincha|No contiene|1970|1974
Agustín Patiño|Pichincha|No contiene|1970|1978
Patricio Romero Barberis|Pichincha|No contiene|1978|1982
Efrén Cocíos|Pichincha|No contiene|1982|1984
Fabián Alarcón|Pichincha|No contiene|1984|1987
Ricardo Moreno Cornejo|Pichincha|No contiene|1987|1987
Eduardo Prócel|Pichincha|No contiene|1987|1988
Marco Landázuri Romo|Pichincha|No contiene|1988|1992
Federico Pérez Intriago|Pichincha|No contiene|1992|1996
Víctor Quirola|Pichincha|No contiene|1996|1996
Rafael Reyes Uribe|Pichincha|No contiene|1996|2000
Ramiro González|Pichincha|No contiene|2000|2006
Gustavo Baroja|Pichincha|No contiene|2006|Actualidad
